LHCb Collaborations,2019,Search for $C P$ violation and observation of $P$ violation in $\Lambda_b^0 \to p \pi^- \pi^+ \pi^-$ decays,Phys. Rev. D102 (2020) 051101,https://cds.cern.ch/record/2705627
LHCb Collaborations,2019,Test of lepton universality with $\Lambda^{0}_{b} \to p K^- \ell^+ \ell^-$ decays,JHEP 05 (2020) 040,https://cds.cern.ch/record/2704709
LHCb Collaborations,2019,Measurement of $CP$ violation in $B^0\to D^{*\pm} D^{\mp}$ decays,JHEP 03 (2020) 147,https://cds.cern.ch/record/2703718
LHCb Collaborations,2019,Isospin amplitudes in $\Lambda_b^0\to J/\psi \Lambda(\Sigma^0)$ and $\Xi_b^0\to J/\psi \Xi^0(\Lambda)$ decays,Phys. Rev. Lett. 124 (2020) 111802,https://cds.cern.ch/record/2703494
LHCb Collaborations,2019,Precision measurement of the $\Xi_{cc}^{++}$ mass,JHEP 02 (2020) 049,https://cds.cern.ch/record/2702305
LHCb Collaborations,2019,Observation of the semileptonic decay $B^{+}\to p\overline{p}\mu^{+}\nu_{\mu}$,JHEP 03 (2020) 146,https://cds.cern.ch/record/2702190
LHCb Collaborations,2019,Determination of quantum numbers for several excited charmed mesons observed in $B^- \to D^{*+} \pi^- \pi^-$ decays,Phys. Rev. D101 (2019) 032005,https://cds.cern.ch/record/2701602
LHCb Collaborations,2019,Measurement of the $\eta_c(1S)$ production cross-section in $pp$ collisions at $\sqrt{s} = 13$ TeV,Eur. Phys. J. C80 (2020) 191,https://cds.cern.ch/record/2700314
LHCb Collaborations,2019,Updated measurement of decay-time-dependent CP asymmetries in $D^0 \to K^+K^-$ and $D^0 \to \pi^+\pi^-$ decays,Phys. Rev. D101 (2020) 012005,https://cds.cern.ch/record/2698323
LHCb Collaborations,2019,Measurement of the $B_c^-$ meson production fraction and asymmetry in 7 and 13 TeV $pp$ collisions,Phys. Rev. D100 (2019) 112006,https://cds.cern.ch/record/2697350
LHCb Collaborations,2019,Measurement of $\mathit{\Xi}_{cc}^{++}$ production in $pp$ collisions at $\sqrt{s}=13$ TeV,Chin. Phys. C44 (2020) 022001,https://cds.cern.ch/record/2696394
LHCb Collaborations,2019,Measurement of $f_s / f_u$ variation with proton-proton collision energy and $B$-meson kinematics,Phys. Rev. Lett. 124 (2020) 122002,https://cds.cern.ch/record/2695194
LHCb Collaborations,2019,Search for $A' \to \mu^+ \mu^-$ decays,Phys. Rev. Lett. 124 (2020) 041801,https://cds.cern.ch/record/2693834
LHCb Collaborations,2019,Search for the doubly charmed baryon $\Xi_{cc}^{+}$,Sci.China Phys.Mech.Astron. (2020) 63 221062,https://cds.cern.ch/record/2691249
LHCb Collaborations,2019,Amplitude analysis of the $B^+ \to \pi^+ \pi^+ \pi^-$ decay,Phys. Rev. D101 (2020) 012006,https://cds.cern.ch/record/2689374
LHCb Collaborations,2019,Observation of several sources of $CP$ violation in $B^+ \to \pi^+ \pi^+ \pi^-$ decays,Phys. Rev. Lett. 124 (2020) 031801,https://cds.cern.ch/record/2689373
LHCb Collaborations,2019,Search for the lepton-flavour violating decays $B^+ \to K^+ {\mu}^{\pm} e^{\mp}$,Phys. Rev. Lett.123 (2019) 241802,https://cds.cern.ch/record/2688536
LHCb Collaborations,2019,Measurement of $\psi(2S)$ production cross-sections in proton-proton collisions at $\sqrt{s} = 7$ and 13 TeV,Eur. Phys. J. C80 (2020) 185,https://cds.cern.ch/record/2686370
LHCb Collaborations,2019,Observation of new resonances in the $\Lambda_{b}^0\pi^+\pi^-$ system,Phys. Rev. Lett. 123 (2019) 152001,https://cds.cern.ch/record/2684629
LHCb Collaborations,2019,Measurement of CP violation in the $B_s^0\rightarrow\phi\phi$ decay and search for the $B^0\rightarrow\phi\phi$ decay,JHEP 12 (2019) 155,https://cds.cern.ch/record/2684085
LHCb Collaborations,2019,Observation of the $\Lambda_b^0\rightarrow \chi_{c1}(3872)pK^-$ decay,JHEP 09 (2019) 028,https://cds.cern.ch/record/2680847
LHCb Collaborations,2019,Updated measurement of time-dependent  CP-violating observables in $B^0_s \to J/\psi K^+K^-$ decays,"Eur. Phys. J. C 79 (2019) 706, Eur. Phys. J. C 80 (2020) 601",https://cds.cern.ch/record/2679467
LHCb Collaborations,2019,"Precision measurement of the $\Lambda_c^+$, $\Xi_c^+$ and $\Xi_c^0$ baryon lifetimes",Phys. Rev. D100 (2019) 032001,https://cds.cern.ch/record/2683283
LHCb Collaborations,2019,Measurement of $C P$ observables in the process $B^0 \to DK^{*0}$ with two- and four-body $D$ decays,JHEP 08 (2019) 041,https://cds.cern.ch/record/2679463
LHCb Collaborations,2019,Amplitude analysis  of $B^\pm \to \pi^\pm K^+ K^-$ decays,Phys. Rev. Lett. 123 (2019) 231802,https://cds.cern.ch/record/2677052
LHCb Collaborations,2019,Amplitude analysis of the $B^0_{(s)} \to K^{*0} \overline{K}^{*0}$ decays and measurement of the branching fraction of the $B^0 \to K^{*0} \overline{K}^{*0}$ decay,JHEP 07 (2019) 032,https://cds.cern.ch/record/2674773
LHCb Collaborations,2019,Search for the lepton-flavour-violating decays $B^{0}_{s}\to\tau^{\pm}\mu^{\mp}$ and $B^{0}\to\tau^{\pm}\mu^{\mp}$,Phys. Rev. Lett. 123 (2019) 211801,https://cds.cern.ch/record/2674782
LHCb Collaborations,2019,Measurement of $CP$-violating and mixing-induced observables in $B_s^0 \to \phi\gamma$ decays,Phys. Rev. Lett. 123 (2019) 081802,https://cds.cern.ch/record/2674768
LHCb Collaborations,2019,A search for $\it{\Xi}^{++}_{cc} \rightarrow D^{+} p K^{-} \pi^{+}$ decays,JHEP 10 (2019) 124,https://cds.cern.ch/record/2673822
LHCb Collaborations,2019,Measurement of charged hadron production in $Z$-tagged jets in proton-proton collisions at $\sqrt{s}=8$ TeV,Phys. Rev. Lett. 123 (2019) 232001,https://cds.cern.ch/record/2673508
LHCb Collaborations,2019,First observation of the radiative decay $\Lambda_{b}^{0} \to \Lambda \gamma$,Phys. Rev. Lett. 123 (2019) 031801,https://cds.cern.ch/record/2671996
LHCb Collaborations,2019,"Observation of a narrow pentaquark state, $P_c(4312)^+$, and of two-peak structure of the $P_c(4450)^+$",Phys. Rev. Lett. 122 (2019) 222001,https://cds.cern.ch/record/2670937
LHCb Collaborations,2019,Observation of an excited $B_c^+$ state,Phys. Rev. Lett. 122 (2019) 232001,https://cds.cern.ch/record/2669666
LHCb Collaborations,2019,Near-threshold $D\bar{D}$ spectroscopy and observation of a new charmonium state,JHEP 07 (2019) 035,https://cds.cern.ch/record/2669650
LHCb Collaborations,2019,Search for lepton-universality violation in $B^+\to K^+\ell^+\ell^-$ decays,Phys. Rev. Lett. 122 (2019) 191801,https://cds.cern.ch/record/2668514
LHCb Collaborations,2019,Observation of $C P$ violation in charm decays,Phys. Rev. Lett. 122 (2019) 211803,https://cds.cern.ch/record/2668357
LHCb Collaborations,2019,Measurements of $CP$ asymmetries in charmless four-body $\Lambda^0_b$ and $\Xi_b^0$ decays,Eur. Phys. J. C79 (2019) 745,https://cds.cern.ch/record/2670028
LHCb Collaborations,2019,Measurement of the $CP$-violating phase $\phi_s$ from $B_{s}^{0}\to J/\psi\pi^+\pi^-$ decays in 13 TeV $pp$ collisions,Phys. Lett. B797 (2019) 134789,https://cds.cern.ch/record/2666948
LHCb Collaborations,2019,Measurement of the mass difference between neutral charm-meson eigenstates,Phys. Rev. Lett. 122 (2019) 231802,https://cds.cern.ch/record/2665965
LHCb Collaborations,2019,"Search for $CP$ violation in $D^+_s\to K_S^0\pi^+$, $D^+\to K_S^0K^+$ and $D^+\to\phi\pi^+$ decays",Phys. Rev. Lett.122 (2019) 191803,https://cds.cern.ch/record/2665515
LHCb Collaborations,2019,Amplitude analysis of $B^{0}_{s} \rightarrow K^{0}_{\textrm{S}} K^{\pm}\pi^{\mp}$ decays,JHEP 06 (2019) 114,https://cds.cern.ch/record/2661843
LHCb Collaborations,2019,Measurement of $b$-hadron fractions in 13 TeV $pp$ collisions,Phys. Rev. D 100 (2019) 031102(R),https://cds.cern.ch/record/2660233
LHCb Collaborations,2019,Dalitz Plot analysis of the $D^+ \to K^- K^+ K^+$ decay,JHEP 04 (2019) 063,https://cds.cern.ch/record/2659484
LHCb Collaborations,2019,"Measurement of $B^+$, $B^0$ and $\Lambda_b^0$ production in $p\mkern 1mu\mathrm{Pb}$ collisions at $\sqrt{s_{NN}} = 8.16 \ \rm TeV$",Phys. Rev. D99 052011 (2019),https://cds.cern.ch/record/2658343
LHCb Collaborations,2019,Observation of $B^0_{(s)} \to J/\psi p \overline{p}$ decays and precision measurements of the $B^0_{(s)}$ masses,Phys. Rev. Lett. 122 (2019) 191804,https://cds.cern.ch/record/2659361
LHCb Collaborations,2019,Measurement of the ratio of branching fractions of the decays $\Lambda_b^0  \to \psi(2S) \Lambda$ and $\Lambda_b^0  \to J / \psi \Lambda$,JHEP 03 (2019) 126,https://cds.cern.ch/record/2657232
LHCb Collaborations,2019,Measurement of the mass and production rate of $\Xi_b^-$ baryons,Phys. Rev. D99 052006 (2019),https://cds.cern.ch/record/2654597
LHCb Collaborations,2019,Observation of the doubly Cabibbo-suppressed decay $\Xi_{c}^{+}\to p\phi$,JHEP 04 (2019) 084,https://cds.cern.ch/record/2654633
LHCb Collaborations,2019,Model-independent observation of exotic contributions to $B^0\to J/\psi K^+\pi^-$ decays,Phys. Rev. Lett. 122 152002 (2019),https://cds.cern.ch/record/2653869
LHCb Collaborations,2018,Measurement of the branching fraction and $C P$ asymmetry in $B^{+}\rightarrow J/\psi \rho^{+}$ decays,Eur. Phys. J. C79 (2019) 537,https://cds.cern.ch/record/2652406
LHCb Collaborations,2018,Study of the $B^0\to \rho(770)^0 K^*(892)^0$ decay with an amplitude analysis of $B^0\to (\pi^+\pi^-) (K^+\pi^-)$ decays,JHEP 05 (2019) 026,https://cds.cern.ch/record/2652296
LHCb Collaborations,2018,Search for the rare decay $B^{+} \rightarrow \mu^{+}\mu^{-}\mu^{+}\nu_{\mu}$,Eur. Phys. J. C 79 (2019) 675,https://cds.cern.ch/record/2652315
LHCb Collaborations,2018,Search for $CP$ violation through an amplitude analysis of $D^0\rightarrow K^+ K^- \pi^+ \pi^-$ decays,JHEP 02 (2019) 126,https://cds.cern.ch/record/2648586
LHCb Collaborations,2018,First Measurement of Charm Production in its Fixed-Target Configuration at the LHC,Phys. Rev. Lett. 122 (2019) 132002,https://cds.cern.ch/record/2644520
LHCb Collaborations,2018,Study of $\Upsilon$ production in $p$Pb collisions at $\sqrt{s_{NN}}=8.16$ TeV,JHEP 11 (2018) 194,https://cds.cern.ch/record/2644105
LHCb Collaborations,2018,Measurement of the charm-mixing parameter $y_{CP}$,Phys. Rev. Lett. 122 (2019) 011802,https://cds.cern.ch/record/2644005
LHCb Collaborations,2018,"Measurement of the branching fractions of the decays $D^+\rightarrow K^-K^+K^+$, $D^+\rightarrow \pi^-\pi^+K^+$ and $D^+_s\rightarrow\pi^-K^+K^+$",JHEP 03 (2019) 176,https://cds.cern.ch/record/2643491
LHCb Collaborations,2018,Observation of two resonances in the $\Lambda_b^0 \pi^\pm$ systems and precise measurement of $\Sigma_b^\pm$ and $\Sigma_b^{*\pm}$ properties,Phys. Rev. Lett. 122(2019) 012001,https://cds.cern.ch/record/2642102
LHCb Collaborations,2018,Evidence for an $\eta_c(1S) \pi^-$ resonance in $B^0 \to \eta_c(1S) K^+\pi^-$ decays,Eur. Phys. J. C78 (2018) 1019,https://cds.cern.ch/record/2639810
LHCb Collaborations,2018,Prompt $\Lambda^+_c$ production in $p\mathrm{Pb}$ collisions at $\sqrt{s_{NN}} = 5.02$ TeV,JHEP 02 (2019) 102,https://cds.cern.ch/record/2637452
LHCb Collaborations,2018,Search for lepton-flavour-violating decays of Higgs-like bosons,Eur. Phys. J. C78 (2018) 1008,https://cds.cern.ch/record/2635986
LHCb Collaborations,2018,Measurement of antiproton production in ${\rm p He}$ collisions at $\sqrt{s_{NN}}=110$ GeV,Phys. Rev. Lett. 121 (2018) 222001,https://cds.cern.ch/record/2635070
LHCb Collaborations,2018,Angular moments of the decay $\Lambda_b^0 \rightarrow \Lambda \mu^{+} \mu^{-}$ at low hadronic recoil,JHEP 09 (2018) 146,https://cds.cern.ch/record/2633197
LHCb Collaborations,2018,Measurement of the relative $B^{-} \rightarrow D^{0} / D^{*0} / D^{**0} \mu^{-} \overline{\nu}_\mu$ branching fractions using $B^{-}$ mesons from $\overline{B}{}_{s2}^{*0}$ decays,Phys. Rev. D99 (2019) 092009,https://cds.cern.ch/record/2632773
LHCb Collaborations,2018,Search for $C P$ violation in $\Lambda^0_b \to p K^-$ and $\Lambda^0_b \to p \pi^-$ decays,Phys. Lett. B784 (2018) 124,https://cds.cern.ch/record/2631638
LHCb Collaborations,2018,Measurement of the $\Omega_c^0$ baryon lifetime,Phys. Rev. Lett. 121 (2018) 092003,https://cds.cern.ch/record/2629320
LHCb Collaborations,2018,First observation of the doubly charmed baryon decay $\Xi_{cc}^{++} \rightarrow \Xi_{c}^{+} \pi^{+}$,Phys. Rev. Lett. 121 162002 (2018),https://cds.cern.ch/record/2629322
LHCb Collaborations,2018,Observation of $B_s^0 \to \overline{D}^{*0} \phi$ and search for $B^0 \to \overline{D}^0 \phi$ decays,Phys. Rev. D98 071103(R) (2018),https://cds.cern.ch/record/2629429
LHCb Collaborations,2018,Observation of the decay $B_s^0 \to \overline{D}^0 K^+ K^-$,Phys. Rev. D98 072006 (2018),https://cds.cern.ch/record/2629428
LHCb Collaborations,2018,Measurement of angular and CP asymmetries in $D^0\to\pi^+\pi^-\mu^+\mu^-$ and $D^0\to K^+K^-\mu^+\mu^-$ decays,Phys. Rev. Lett. 121 (2018) 091801,https://cds.cern.ch/record/2627588
LHCb Collaborations,2018,Observation of the decay $\overline{B_s^0} \rightarrow \chi_{c2} K^+ K^- $ in the $\phi$ mass region,JHEP 08 (2018) 191,https://cds.cern.ch/record/2627041
LHCb Collaborations,2018,Search for beautiful tetraquarks in the $\Upsilon(1S)\mu^+\mu^-$ invariant-mass spectrum,JHEP 10 (2018) 086,https://cds.cern.ch/record/2626254
LHCb Collaborations,2018,Observation of the decay $\Lambda^0_b\rightarrow\psi(2S)p\pi^-$,JHEP 08 (2018) 131,https://cds.cern.ch/record/2625147
LHCb Collaborations,2018,Measurement of $Z\rightarrow\tau^+\tau^-$ production in proton-proton collisions at $\sqrt{s} = 8$ TeV,JHEP 09 (2018) 159,https://cds.cern.ch/record/2624023
LHCb Collaborations,2018,Central exclusive production of $J/\psi$ and $\psi(2S)$ mesons in $pp$ collisions at $\sqrt{s}=13 $TeV,JHEP 10 (2018) 167,https://cds.cern.ch/record/2622688
LHCb Collaborations,2018,First measurement of the lifetime of the doubly charmed baryon $\Xi_{cc}^{++}$,Phys. Rev. Lett. 121 052002,https://cds.cern.ch/record/2622293
LHCb Collaborations,2018,Measurement of the time-integrated $CP$ asymmetry in $D^0 \rightarrow K^0_S K^0_S$ decays,JHEP 11 (2018) 048,https://cds.cern.ch/record/2621733
LHCb Collaborations,2018,"Measurement of the CKM angle $\gamma$ using $B^\pm\to DK^\pm$ with $D\to K_\text{S}^0\pi^+\pi^-$, $K_\text{S}^0K^+K^-$ decays","JHEP 08 (2018) 176, JHEP 10 (2018) 107",https://cds.cern.ch/record/2621724
LHCb Collaborations,2018,Measurement of $D_s^{\pm}$ production asymmetry in $pp$ collisions at $\sqrt{s} =7$ and 8 TeV,JHEP 08 (2018) 008,https://cds.cern.ch/record/2621083
LHCb Collaborations,2018,Search for a dimuon resonance in the $\Upsilon$ mass region,JHEP 09 (2018) 147,https://cds.cern.ch/record/2622139
LHCb Collaborations,2018,Observation of a new $\Xi_b^-$ resonance,Phys. Rev. Lett. 121 (2018) 072002,https://cds.cern.ch/record/2320491
LHCb Collaborations,2018,Measurement of $C P$ asymmetries in two-body $B_{(s)}^{0}$-meson decays to charged pions and kaons,Phys. Rev. D98 (2018) 032004,https://cds.cern.ch/record/2318785
LHCb Collaborations,2018,"Search for CP violation using triple product asymmetries in $\Lambda^{0}_{b}\to pK^{-}\pi^{+}\pi^{-}$, $\Lambda^{0}_{b}\to pK^{-}K^{+}K^{-}$ and $\Xi^{0}_{b}\to pK^{-}K^{-}\pi^{+}$ decays",JHEP 08 (2018) 039,https://cds.cern.ch/record/2317224
LHCb Collaborations,2018,Measurement of $CP$ violation in $B^{0}\rightarrow D^{\mp}\pi^{\pm}$ decays,JHEP 06 (2018) 084,https://cds.cern.ch/record/2317087
LHCb Collaborations,2018,Observation of the decay $\Lambda_b^0 \to \Lambda_c^+ p \overline{p} \pi^-$,Phys. Lett. B784 (2018) 101,https://cds.cern.ch/record/2315242
LHCb Collaborations,2018,Measurement of $\Upsilon$ production in $pp$ collisions at $\sqrt{s}$= 13 TeV,"JHEP 07 (2018) 134, JHEP 1905 (2019) 076",https://cds.cern.ch/record/2631451
LHCb Collaborations,2018,Evidence for the decay $B_{s}^0 \rightarrow \overline{K}{}^{*0}\mu^+\mu^-$,JHEP 07 (2018) 020,https://cds.cern.ch/record/2314397
LHCb Collaborations,2018,Measurement of the $CP$ asymmetry in $B^-\to D_s^-D^0$ and $B^-\to D^-D^0$ decays,JHEP 05 (2018) 160,https://cds.cern.ch/record/2311957
LHCb Collaborations,2018,Measurement of the inelastic $pp$ cross-section at a centre-of-mass energy of 13 TeV,JHEP 06 (2018) 100,https://cds.cern.ch/record/2310870
LHCb Collaborations,2018,Measurement of forward top pair production in the dilepton channel in $pp$ collisions at $\sqrt{s}=13$ TeV,JHEP 08 (2018) 174,https://cds.cern.ch/record/2308679
LHCb Collaborations,2017,Amplitude analysis of the decay $\overline{B}^0 \to K_{S}^0 \pi^+ \pi^-$ and first observation of the CP asymmetry in $\overline{B}^0 \to K^{*}(892)^- \pi^+$,Phys. Rev. Lett. 120 261801,https://cds.cern.ch/record/2299123
LHCb Collaborations,2017,First measurement of the $CP$-violating phase $\phi_s^{d\overline{d}}$ in $B_s^0\to(K^+\pi^-)(K^-\pi^+)$ decays,JHEP 03 (2018) 140,https://cds.cern.ch/record/2299466
LHCb Collaborations,2017,Studies of the resonance structure in $D^{0} \to K^\mp \pi^\pm \pi^\pm \pi^\mp$ decays,Eur. Phys. J. C78 (2018) 443,https://cds.cern.ch/record/2299813
LHCb Collaborations,2017,Evidence for the rare decay $\Sigma^+ \to p \mu^+ \mu^-$,Phys. Rev. Lett. 120 (2018) 221803,https://cds.cern.ch/record/2299992
LHCb Collaborations,2017,Search for weakly decaying $b$-flavored pentaquarks,Phys. Rev. D97 (2018) 032010,https://cds.cern.ch/record/2298907
LHCb Collaborations,2017,Search for the rare decay $\Lambda_{c}^{+} \to p\mu^+\mu^-$,"Phys. Rev. D 97, 091101",https://cds.cern.ch/record/2298975
LHCb Collaborations,2017,Measurement of $CP$ asymmetry in $B_s^0 \to D_s^{\mp} K^{\pm}$ decays,JHEP 03 (2018) 059,https://cds.cern.ch/record/2298825
LHCb Collaborations,2017,A measurement of the $CP$ asymmetry difference in $\varLambda_{c}^{+} \to pK^{-}K^{+}$ and $p\pi^{-}\pi^{+}$ decays,JHEP 03 (2018) 182,https://cds.cern.ch/record/2298698
LHCb Collaborations,2017,Search for $B_c^+$ decays to two charm mesons,Nucl. Phys. B930 (2018) 563,https://cds.cern.ch/record/2310354
LHCb Collaborations,2017,Search for excited $B_c^+$ states,JHEP 01 (2018) 138,https://cds.cern.ch/record/2293586
LHCb Collaborations,2017,Updated determination of $D^0$-$\overline{D}{}^0$ mixing and CP violation parameters with $D^0\to K^+\pi^-$ decays,Phys. Rev. D97 (2018) 031101,https://cds.cern.ch/record/2293449
LHCb Collaborations,2017,First observation of $B^{+} \to D_s^{+}K^{+}K^{-}$ decays and a search for $B^{+} \to D_s^{+}\phi$ decays,JHEP 01 (2018) 131,https://cds.cern.ch/record/2293032
LHCb Collaborations,2017,Measurement of the ratio of branching fractions $\mathcal{B}(B_c^+ \to J/\psi\tau^+\nu_\tau)$/$\mathcal{B}(B_c^+ \to J/\psi\mu^+\nu_\mu)$,Phys. Rev. Lett. 120 (2018) 121801,https://cds.cern.ch/record/2293066
LHCb Collaborations,2017,Measurement of branching fractions of charmless four-body $\Lambda_b^0$ and $\Xi_b^0$ decays,JHEP 02 (2018) 098,https://cds.cern.ch/record/2293330
LHCb Collaborations,2017,Measurement of the $B^0 \to D^{*-} \tau^+ \nu_{\tau}$ branching fraction using three-prong $\tau$ decays,"Phys. Rev. D 97, 072013",https://cds.cern.ch/record/2292296
LHCb Collaborations,2017,"Measurements of the branching fractions of $\Lambda_{c}^{+} \rightarrow p \pi^{-} \pi^{+}$, $\Lambda_{c}^{+} \rightarrow p K^{-} K^{+}$, and $\Lambda_{c}^{+} \rightarrow p \pi^{-} K^{+}$",JHEP 03 (2018) 043,https://cds.cern.ch/record/2291553
LHCb Collaborations,2017,Measurement of the $B^{\pm}$ production cross-section in pp collisions at $\sqrt{s} =$ 7 and 13 TeV,JHEP 12 (2017) 026,https://cds.cern.ch/record/2289591
LHCb Collaborations,2017,Search for the lepton-flavour violating decays $B^0_{(s)} \rightarrow e^\pm \mu^\mp$,JHEP 03 (2018) 078,https://cds.cern.ch/record/2288393
